Lesson,Question ID,Type,Question,Options,Correct Answer,Explanation,Current Difficulty Tag,Difficulty Band,Status
gulliver-lo-1-5,glo15-new-hard1,proposed-mcq,Why does an empowered frontline worker create a better experience than one who must always “ask the manager”?,A. They can fix the problem immediately instead of escalating every issue up the chain | B. They can ignore the customer entirely | C. They always charge the customer more | D. They avoid making any decisions at all,A. They can fix the problem immediately instead of escalating every issue up the chain,"Empowered frontline workers solve problems immediately rather than escalating everything, improving the customer experience.",1,Hard,PROPOSED-NEW
gulliver-lo-1-5,glo15-new-hard2,proposed-mcq,Which combination best captures the full formula for beating the competition?,"A. High quality up to zero defects, consistently exceeding expectations, and empowered frontline workers | B. The lowest possible price alone, ignoring quality | C. Meeting the bare minimum while cutting frontline authority | D. Zero defects only, with no attention to customer experience","A. High quality up to zero defects, consistently exceeding expectations, and empowered frontline workers","The real formula combines high quality (up to zero defects), exceeding expectations, and empowered frontline employees who deliver both.",1.5,Hard,PROPOSED-NEW
gulliver-lo-1-6,glo16-new-easy1,proposed-mcq,What does “Social Security” provide?,A. Benefits to older citizens | B. Loans to new businesses | C. Free products to all consumers | D. Insurance for company buildings,A. Benefits to older citizens,Social Security is the government program that provides benefits to older citizens.,-1.5,Easy,PROPOSED-NEW
gulliver-lo-1-6,glo16-new-easy2,proposed-mcq,"According to the lesson, diversity in business today includes:","A. Age, disability, religion, personality type, and marital status — not just race and gender | B. Only ethnic and racial minorities | C. Only women in the workforce | D. Only a company’s top managers","A. Age, disability, religion, personality type, and marital status — not just race and gender","Diversity today is much broader than race and gender — it includes age, disability, orientation, religion, personality, and marital status.",-1,Easy,PROPOSED-NEW
gulliver-lo-1-6,glo16-new-med1,proposed-mcq,"As the population ages, what is expected to happen with Social Security?",A. It will draw increasingly large amounts of money from the working population | B. It will stop needing any funding at all | C. It will only affect people who own businesses | D. It will become fully funded by older citizens themselves,A. It will draw increasingly large amounts of money from the working population,An aging population means Social Security is expected to draw large amounts from workers to support older citizens.,0,Medium,PROPOSED-NEW
gulliver-lo-1-6,glo16-new-med2,proposed-mcq,What does “managing diversity well” require of a business?,"A. Dealing sensitively with workers and cultures from many backgrounds, including around the world | B. Hiring only people who are all alike | C. Ignoring differences among employees | D. Focusing only on customers, never employees","A. Dealing sensitively with workers and cultures from many backgrounds, including around the world","Managing diversity means dealing sensitively with a wide range of workers and cultures, inside the business and globally.",0,Medium,PROPOSED-NEW
gulliver-lo-1-6,glo16-new-hard1,proposed-mcq,Why is an aging population a business issue and not only a government issue?,"A. It influences how much workers and employers pay in, and whether older employees keep working or retire | B. Businesses are never affected by Social Security | C. Only the government hires older workers | D. It has no effect on the size of the workforce","A. It influences how much workers and employers pay in, and whether older employees keep working or retire",The aging population affects businesses because it shapes payroll contributions and how long older employees stay in the workforce.,1,Hard,PROPOSED-NEW
gulliver-lo-1-6,glo16-new-hard2,proposed-mcq,"Taken together, what do broader diversity and an aging population mean for how businesses must plan?","A. They must plan for a wider, more varied workforce and customer base that keeps shifting as the population ages | B. They can assume their workforce and customers will stay exactly the same | C. They should focus only on younger customers and ignore change | D. They should treat all employees as identical","A. They must plan for a wider, more varied workforce and customer base that keeps shifting as the population ages","These social changes mean businesses must think about a much wider, more varied group of employees and customers, and plan for ongoing shifts.",1.5,Hard,PROPOSED-NEW
gulliver-lo-1-7,glo17-new-easy1,proposed-mcq,Which two countries does the lesson identify as the biggest sources of competitive challenge for U.S. businesses?,A. China and India | B. Canada and Mexico | C. France and Germany | D. Brazil and Argentina,A. China and India,China and India are identified as creating the greatest competitive challenges for U.S. businesses.,-1.5,Easy,PROPOSED-NEW
gulliver-lo-1-7,glo17-new-easy2,proposed-mcq,"During periods of war or conflict, which industry may actually prosper?",A. The defense industry | B. The tourism industry | C. The restaurant industry | D. The farming industry,A. The defense industry,"The defense industry may prosper during conflict as demand rises, while tourism tends to suffer.",-1,Easy,PROPOSED-NEW
gulliver-lo-1-7,glo17-new-med1,proposed-mcq,Why does the tourism industry tend to suffer during war and terrorism?,A. People avoid traveling to or through unstable regions | B. Tourism companies are legally shut down | C. Defense spending replaces all tourism | D. Airplanes stop being built,A. People avoid traveling to or through unstable regions,Tourism suffers because people avoid traveling to or through unstable regions during conflict.,0,Medium,PROPOSED-NEW
gulliver-lo-1-7,glo17-new-med2,proposed-mcq,What strategy do experts suggest for reducing world tensions?,A. Helping less-developed countries become more prosperous | B. Increasing corruption in poorer countries | C. Cutting off all global trade | D. Encouraging currency instability everywhere,A. Helping less-developed countries become more prosperous,"One strategy is helping less-developed countries become more prosperous, which reduces the incentive toward instability.",0,Medium,PROPOSED-NEW
gulliver-lo-1-7,glo17-new-hard1,proposed-mcq,How does helping less-developed countries become more prosperous connect to reducing conflict?,A. Prosperous countries with strong businesses and stable systems have less incentive toward instability | B. Prosperity always increases the desire for war | C. Wealthier countries stop trading entirely | D. Prosperity has no link to global stability,A. Prosperous countries with strong businesses and stable systems have less incentive toward instability,"The logic ties back to the economic environment: a prosperous country with strong businesses, stable currency, and enforceable contracts has less incentive toward conflict.",1,Hard,PROPOSED-NEW
gulliver-lo-1-7,glo17-new-hard2,proposed-mcq,Why does global instability affect industries unevenly rather than harming all businesses equally?,A. Demand shifts by industry — defense may see rising demand while tourism sees people stay away | B. All industries always lose the same amount during conflict | C. Only farming is ever affected by war | D. Instability boosts every industry at once,A. Demand shifts by industry — defense may see rising demand while tourism sees people stay away,"War and terrorism affect industries differently — defense may prosper as demand rises, while tourism suffers as people avoid travel.",1.5,Hard,PROPOSED-NEW
gulliver-lo-1-8,glo18-new-easy1,proposed-mcq,"In U.S. history, agricultural workers displaced by improved farm technology mostly moved into:",A. Factory and manufacturing jobs | B. Farming on larger farms | C. Government jobs only | D. No work at all,A. Factory and manufacturing jobs,Agricultural workers displaced by farm technology moved into factory jobs.,-1.5,Easy,PROPOSED-NEW
gulliver-lo-1-8,glo18-new-easy2,proposed-mcq,What are “service industries”?,A. Jobs based on providing services rather than making physical goods | B. Jobs only in factories | C. Jobs that grow crops | D. Jobs that mine natural resources,A. Jobs based on providing services rather than making physical goods,Service industries are jobs based on providing services rather than making physical goods.,-1,Easy,PROPOSED-NEW
gulliver-lo-1-8,glo18-new-med1,proposed-mcq,What is the repeating pattern in U.S. economic development described in the lesson?,"A. Improved technology displaces workers from one sector, and they move into a growing sector | B. Workers always stay in the same job for life | C. Technology permanently eliminates all jobs | D. The economy never changes over time","A. Improved technology displaces workers from one sector, and they move into a growing sector","The pattern: improved technology displaces workers from one sector, and they move into a growing one.",0,Medium,PROPOSED-NEW
gulliver-lo-1-8,glo18-new-med2,proposed-mcq,Displaced factory workers largely moved into service industries because of:,A. Improved manufacturing productivity plus increased foreign competition | B. A total ban on manufacturing | C. Farming becoming more popular again | D. The government closing all factories,A. Improved manufacturing productivity plus increased foreign competition,"Improved manufacturing productivity combined with foreign competition meant factories needed fewer workers, pushing them into services.",0,Medium,PROPOSED-NEW
gulliver-lo-1-8,glo18-new-hard1,proposed-mcq,Today’s shift toward the information age is best understood as:,A. A continuation of the same historical displacement pattern | B. The first time technology has ever changed jobs | C. Proof that the old pattern has finally stopped | D. Unrelated to earlier shifts in the economy,A. A continuation of the same historical displacement pattern,The information-age shift is a continuation of the same repeating pattern of displacement and movement into growing sectors.,1,Hard,PROPOSED-NEW
gulliver-lo-1-8,glo18-new-hard2,proposed-mcq,"Given this repeating pattern of displacement, what is the main takeaway for today’s graduates?",A. Adaptability and continuous learning matter more than locking into one fixed skill set | B. Choosing one skill for life guarantees job security | C. Technology will stop changing which jobs exist | D. Future jobs will look exactly like today’s jobs,A. Adaptability and continuous learning matter more than locking into one fixed skill set,"Because the specific jobs keep changing, adaptability and continuous learning matter more than a single static skill set.",1.5,Hard,PROPOSED-NEW
